id,deliverable_type
541,document
545,text
546,document
549,text
550,document
551,text
553,text
554,text
555,document
556,text
558,text
560,document
562,text
565,text
567,document
570,text
571,text
573,text
574,document
575,text
576,text
579,text
580,document
581,document
582,text
585,text
586,text
592,document
595,text
597,document
601,document
606,text
608,document
611,document
613,document
614,text
618,document
620,document
621,document
622,document
626,document
627,document
630,text
634,text
636,text
639,text
641,document
644,text
648,document
649,text
653,document
654,document
659,text
660,document
